Device,TSL_Lux,TSL_IR,TSL_Vis,TSL_Full,BME_Temp,BME_Hum,BME_Pres,BME_Alt,VEML_UV,SGP_CO2,SGP_VOCs,SOIL1_Temp,SOIL1_Cap,SOIL2_Temp,SOIL2_Cap,PIR 1,PIR 2,Decimal Hours,Year,Month,Day,Hour,Minute,Second,TimeZone
string,float,float,float,float,float,float,float,float,int,float,float,float,float,float,float,string,string,float,int,int,int,int,int,int,int
Quolls,1814.774,372,686,1058,,,,,99,400,1,23.286,1016,23.104,1016,,,130.511,2020,1,6,10,30,41,10
Quolls,,,,,,,,,,,,,,,,130.1853_130.2794_130.2814_130.2836_130.3850_130.3875_130.3919_130.3956_130.3986_130.4008_130.4031_130.4297_129.4981_,,,,,,,,,
Quolls,-2.038,400,43.65,0,,,,,1304.404,23.27,1013.494,490,261,751,72,,,130.251,2020,1,6,10,15,5,10
Quolls,-2.075,400,44.614,0,,,,,1594.671,23.319,1013.499,599,319,918,88,,,130.335,2020,1,6,10,20,6,10
Quolls,-1.945,400,44.489,0,,,,,1839.374,23.389,1013.483,689,364,1053,101,,,130.393,2020,1,6,10,23,36,10
Quolls,-2.16,400,44.798,0,,,,,1786.74,23.399,1013.509,669,353,1022,98,,,130.399,2020,1,6,10,23,59,10
Quolls,-1.745,400,45.033,0,,,,,1663.41,23.42,1013.459,623,329,952,92,,,130.418,2020,1,6,10,25,5,10
Quolls,2888.181,603,1097,1700,24.139,42.641,1013.116,1.115,159,400,1,23.491,1015,23.104,1016,,,131.011,2020,1,6,11,0,41,10
Quolls,,,,,,,,,,,,,,,,130.5608_130.5628_130.6047_130.9111_130.9139_130.3875_,,,,,,,,,
Quolls,2046.95,418,773,1191,23.639,43.4,1013.41,-1.335,112,400,0,23.286,1015,22.798,1015,,,130.584,2020,1,6,10,35,5,10
Quolls,1869.134,382,706,1088,23.739,42.967,1013.357,-0.894,102,400,0,23.286,1015,22.698,1015,,,130.668,2020,1,6,10,40,6,10
Quolls,2233.647,453,842,1295,23.84,42.624,1013.292,-0.353,124,400,0,23.087,1015,13.473,1015,,,130.751,2020,1,6,10,45,5,10
Quolls,1899.894,387,717,1104,23.85,42.293,1013.249,0.005,104,400,0,23.087,912,22.798,1015,,,130.834,2020,1,6,10,50,5,10
Quolls,1791.473,371,679,1050,23.889,42.595,1013.188,0.51,99,400,0,23.187,1015,22.698,1015,,,130.918,2020,1,6,10,55,5,10
Quolls,1673.449,346,634,980,,,,,92,400,1,23.596,1015,24.016,1016,,,131.423,2020,1,6,11,25,25,10
Quolls,,,,,,,,,,,,,,,,131.0139_131.0161_131.1839_131.2081_131.2117_131.2139_131.2161_131.3981_131.4000_131.4022_131.4042_131.4078_129.4981_,,,,,,,,,
Quolls,2.064,400,42.687,0,,,,,2822.472,24.28,1013.002,1070,585,1655,156,,,131.084,2020,1,6,11,5,5,10
