Device,TSL_Lux,TSL_IR,TSL_Vis,TSL_Full,Percentage_IR,BME_Temp,BME_Hum,BME_Pres,BME_Alt,VEML_UV,SGP_CO2,SGP_VOCs,SOIL1_Temp,SOIL1_Cap,SOIL2_Temp,SOIL2_Cap,PIR 1,Decimal Hours,Decimal Hours,Year,Month,Day,Hour,Minute,Second,TimeZone
Quolls,1306.377,264,492,756,0.349206349,23.78,42.441,1012.851,3.317,71,400,0,23.901,992,24.016,1016,,132.084,12.084,2020,1,6,12,5,5,10
Quolls,1104.732,219,414,633,0.345971564,23.59,41.463,1012.766,4.026,60,400,1,23.901,1015,23.41,1010,,132.594,12.594,2020,1,6,12,35,41,10
Quolls,1190.103,238,447,685,0.347445255,23.79,42.354,1012.809,3.668,64,400,0,24,1015,23.41,1015,,132.184,12.184,2020,1,6,12,11,4,10
Quolls,1085.065,220,409,629,0.349761526,23.709,41.85,1012.768,4.007,58,400,0,24.304,1015,23.204,911,,132.251,12.251,2020,1,6,12,15,5,10
Quolls,1170.608,241,443,684,0.352339181,23.659,41.978,1012.727,4.349,63,400,0,23.596,1014,23.916,1015,,132.334,12.334,2020,1,6,12,20,5,10
Quolls,1170.608,241,443,684,0.352339181,23.629,42.007,1012.759,4.081,64,400,0,23.696,1015,23.51,1011,,132.418,12.418,2020,1,6,12,25,5,10
Quolls,1133.877,227,426,653,0.34762634,23.59,41.873,1012.797,3.768,62,400,0,16.698,1015,23.31,1015,,132.501,12.501,2020,1,6,12,30,5,10
Quolls,809.029,160,303,463,0.345572354,23.549,42.155,1012.778,3.929,43,400,1,24.304,1015,24.116,1016,,132.931,12.931,2020,1,6,12,55,53,10
Quolls,1130.178,225,424,649,0.346687211,23.54,41.404,1012.784,3.874,61,400,0,22.783,1015,23.204,1016,,132.668,12.668,2020,1,6,12,40,5,10
Quolls,1117.357,220,418,638,0.344827586,23.53,41.689,1012.741,4.233,60,400,0,23.696,868,23.31,1016,,132.751,12.751,2020,1,6,12,45,5,10
Quolls,1095.703,218,411,629,0.346581876,23.53,41.667,1012.759,4.087,59,400,0,23.901,1015,23.41,1015,,132.755,12.755,2020,1,6,12,45,21,10
Quolls,1081.134,214,405,619,0.345718901,23.54,41.602,1012.744,4.212,58,400,0,21.97,1015,23.51,1015,,132.761,12.761,2020,1,6,12,45,40,10
Quolls,1030.345,204,386,590,0.345762712,23.52,42.152,1012.778,3.929,55,400,0,23.801,1015,23.31,1015,,132.835,12.835,2020,1,6,12,50,6,10
Quolls,1015.779,200,380,580,0.344827586,23.469,43.195,1012.602,5.396,56,400,1,24,1015,5.066,1016,,133.292,13.292,2020,1,6,13,17,32,10
Quolls,812.723,162,305,467,0.346895075,23.43,42.628,1012.73,4.33,43,400,0,24,1015,23.31,1014,,133.001,13.001,2020,1,6,13,0,5,10
Quolls,915.956,179,342,521,0.343570058,23.399,42.813,1012.685,4.703,50,400,0,23.801,1015,23.31,1015,,133.084,13.084,2020,1,6,13,5,5,10
Quolls,854.38,169,320,489,0.345603272,23.379,43.715,1012.702,4.558,46,400,0,23.801,1015,23.41,927,,133.168,13.168,2020,1,6,13,10,6,10
Quolls,943.338,188,354,542,0.346863469,23.37,43.251,1012.614,5.289,51,400,0,23.491,777,24.222,1016,,133.251,13.251,2020,1,6,13,15,4,10
Quolls,836.22,165,313,478,0.345188285,23.27,43.296,1012.564,5.711,46,400,1,24.609,1016,25.034,1015,,133.676,13.676,2020,1,6,13,40,37,10
Quolls,930.516,183,348,531,0.344632768,23.389,43.485,1012.606,5.356,51,400,0,23.596,1016,24.522,1016,,133.334,13.334,2020,1,6,13,20,5,10
Quolls,930.433,181,347,528,0.34280303,23.35,42.257,1012.68,4.74,51,400,0,23.801,1016,24.622,1015,,133.418,13.418,2020,1,6,13,25,5,10
Quolls,774.467,151,289,440,0.343181818,23.299,41.988,1012.576,5.608,42,400,0,23.801,1015,24.222,1016,,133.501,13.501,2020,1,6,13,30,5,10
Quolls,772.564,148,287,435,0.340229885,23.239,42.379,1012.559,5.748,41,400,0,22.379,1015,24.622,1014,,133.584,13.584,2020,1,6,13,35,5,10
Quolls,785.345,153,293,446,0.343049327,23.209,42.707,1012.541,5.897,42,400,0,23.491,1015,24.322,1016,,133.642,13.642,2020,1,6,13,38,33,10
Quolls,725.612,144,272,416,0.346153846,,,,,39,400,1,24.509,1015,24.522,1016,,134.178,14.178,2020,1,6,14,10,41,10
Quolls,718.239,140,268,408,0.343137255,,,,,38,400,0,24.41,1015,24.728,1016,,133.918,13.918,2020,1,6,13,55,5,10
Quolls,729.117,142,272,414,0.342995169,,,,,39,400,0,6.465,1010,24.016,1016,,134.001,14.001,2020,1,6,14,0,5,10
Quolls,834.474,166,313,479,0.346555324,23.239,43.89,1012.459,6.58,46,400,1,24.509,1015,24.116,1016,,134.681,14.681,2020,1,6,14,40,52,10
Quolls,848.851,166,317,483,0.3436853,23.09,44.25,1012.512,6.143,47,400,0,24,1015,24.116,1015,,134.251,14.251,2020,1,6,14,15,6,10
